benchmark,kernel_cpu_millis,user_cpu_millis,wall_clock_millis
ls /dev,0,0,1.8995570000000002
ls /etc,0,0,2.048987
ls /etc,0,10,1.9773239999999999
ls /dev,0,0,1.920993
ls /dev,0,0,2.0401
ls /dev,0,0,2.382988
ls /dev,0,0,1.90452
ls /etc,0,0,1.9677570000000002
ls /etc,0,0,2.037887
ls /etc,10,0,2.022578
ls /etc,0,0,2.108784
ls /dev,0,0,1.909731
ls /etc,0,10,1.844257
ls /etc,0,0,1.7723140000000002
ls /etc,0,0,2.0856339999999998
ls /dev,0,0,1.9590419999999997
ls /dev,0,0,2.068135
ls /etc,10,0,2.512751
ls /etc,0,0,1.883067
ls /dev,0,0,2.011895
ls /dev,0,0,2.0827799999999996
ls /dev,0,0,1.991548
ls /etc,0,0,1.918029
ls /etc,10,0,2.123065
ls /etc,0,0,2.2095249999999997
ls /dev,0,0,1.905595
ls /dev,0,0,2.3476030000000003
ls /etc,0,0,2.1548930000000004
ls /etc,0,0,2.0937040000000002
ls /dev,0,0,2.168148
ls /etc,0,0,2.38735
ls /dev,10,10,2.125763
ls /etc,0,0,2.044479
ls /etc,0,0,2.215388
ls /etc,0,0,2.276074
ls /dev,0,0,1.951488
ls /etc,0,0,1.8146390000000001
ls /dev,0,0,1.837174
ls /etc,0,0,1.951134
ls /etc,0,0,1.894964
ls /dev,0,0,1.7781959999999999
ls /dev,10,0,1.987002
ls /dev,0,10,2.9723
ls /dev,0,0,2.176538
ls /etc,0,0,2.058762
ls /dev,0,0,1.887538
ls /etc,0,0,1.873081
ls /dev,10,0,2.0666059999999997
ls /dev,0,0,2.0063210000000002
ls /etc,0,0,2.026462
ls /etc,0,0,1.932849
ls /dev,0,0,2.5170890000000004
ls /etc,0,0,2.3038809999999996
ls /etc,0,0,2.1399719999999998
ls /dev,0,10,2.200925
ls /dev,0,0,1.8316649999999999
ls /dev,0,0,1.794619
ls /dev,0,0,1.765647
ls /etc,0,0,1.802243
ls /etc,0,0,2.713651
ls /dev,10,0,2.262339
ls /etc,0,0,1.936787
ls /etc,0,0,2.0625940000000003
ls /dev,0,0,2.076959
ls /etc,0,0,1.964074
ls /dev,0,0,1.883705
ls /dev,10,0,1.917515
ls /dev,0,0,2.1734419999999997
ls /etc,0,0,2.315405
ls /dev,0,0,1.9816209999999999
ls /etc,0,10,1.844976
ls /dev,0,0,1.8215480000000002
ls /dev,0,0,1.9368079999999999
ls /etc,0,0,1.89388
ls /dev,10,0,1.824991
ls /dev,0,0,1.9655200000000002
ls /etc,0,0,1.827755
ls /etc,0,0,2.316052
ls /dev,0,0,2.535346
ls /etc,0,0,2.032265
ls /etc,0,0,2.045135
ls /etc,0,0,2.086044
ls /dev,10,0,2.05714
ls /etc,0,0,1.8390469999999999
ls /dev,0,10,1.8074729999999999
ls /etc,0,0,2.0757879999999997
ls /etc,0,0,2.5315440000000002
ls /dev,0,0,2.4875040000000004
ls /dev,0,0,2.106512
ls /dev,10,0,2.046686
ls /etc,0,0,1.875661
ls /etc,0,0,2.065301
ls /etc,0,0,2.0749340000000003
ls /dev,0,0,2.403247
ls /dev,0,0,2.520211
ls /dev,10,0,2.6625289999999997
ls /dev,0,0,3.824029
ls /etc,0,0,4.370764
ls /etc,0,0,3.859945
ls /etc,10,0,2.968492
ls /etc,0,0,2.479518
ls /etc,0,0,2.4125840000000003
ls /etc,0,10,2.1605790000000002
ls /dev,0,0,2.031619
ls /dev,0,0,1.924881
ls /dev,10,0,2.059572
ls /dev,0,0,2.423592
ls /dev,0,0,2.123294
ls /dev,0,0,1.834919
ls /etc,0,0,1.8766010000000002
ls /etc,0,0,2.0131900000000003
ls /etc,0,0,2.527008
ls /etc,0,0,2.13065
ls /etc,10,0,2.051413
ls /etc,0,0,2.092183
ls /dev,0,0,1.9966559999999998
ls /etc,0,0,1.9793419999999997
ls /etc,0,0,2.247733
ls /dev,0,0,2.533697
ls /etc,0,0,2.1344990000000004
ls /dev,10,10,2.21822
ls /dev,0,0,1.9689170000000003
ls /dev,0,0,2.102169
ls /etc,0,0,2.132149
ls /dev,0,0,1.9572
ls /etc,0,0,2.4701649999999997
ls /dev,10,0,2.264163
ls /etc,0,0,2.086462
ls /dev,0,0,1.9685430000000002
ls /etc,0,0,1.937273
ls /dev,0,0,1.911854
ls /dev,0,0,1.9879619999999998
ls /etc,0,0,2.008028
ls /etc,10,0,2.018919
ls /etc,0,0,2.270232
ls /dev,0,0,2.661524
ls /dev,0,0,2.1999139999999997
ls /etc,0,0,2.179042
ls /etc,10,0,2.101121
ls /etc,0,0,2.054924
ls /dev,0,0,2.156548
ls /etc,0,10,2.012445
ls /dev,0,0,2.517495
ls /dev,0,0,2.235842
ls /etc,0,0,2.957211
ls /dev,10,0,3.3736099999999998
ls /dev,0,0,3.9039919999999997
ls /etc,0,0,4.338237
ls /dev,0,0,3.889321
ls /dev,10,0,3.9405150000000004
ls /dev,0,0,4.188505
ls /etc,0,10,4.020956
ls /etc,0,0,4.345621
ls /etc,10,0,4.714384
ls /etc,0,0,4.161742
ls /dev,0,0,3.965359
ls /dev,0,10,4.000119
ls /etc,10,0,4.573749
ls /dev,0,0,4.963082
ls /etc,0,0,3.4190829999999997
ls /dev,0,0,3.0601909999999997
ls /dev,0,0,2.627801
ls /etc,10,0,3.109644
ls /etc,0,0,2.669329
ls /dev,0,0,3.0886709999999997
ls /dev,0,0,4.237932
ls /dev,10,0,4.217112
ls /dev,0,10,4.873125
ls /etc,0,0,4.399017
ls /dev,0,0,4.161522
ls /etc,10,0,4.26292
ls /dev,0,0,4.497294
ls /dev,0,0,4.558891
ls /etc,0,10,3.848665
ls /etc,10,0,3.794619
ls /dev,0,0,4.105639
ls /dev,0,0,3.5163949999999997
ls /dev,10,0,3.19942
ls /dev,0,0,2.192806
ls /dev,0,0,2.137094
